,Word,valence,arrousal
491,apartments,5,3.28
492,apathy,3.68,3.8
493,ape,5.21,4.25
494,apex,5.52,3.48
495,aphrodisiac,6.43,5.96
496,apocalypse,3.24,5.04
497,apologetic,6.65,4
498,apologize,4.94,3.52
499,apology,6.24,4
500,apostle,5.5,4.38
501,apothecary,5.48,4.23
502,appalled,3.62,4.91
503,appalling,2.95,5.5
504,apparatus,5.5,4
505,apparel,5.38,4.3
506,apparent,4.96,3.19
507,apparition,4.85,4.82
508,appeal,6.3,3.57
509,appear,5.25,3.24
510,appearance,6.14,4.57
511,appease,5.95,3.55
512,appendage,4.23,4.35
513,appendectomy,2.95,6.14
514,appendicitis,1.86,5.12
515,appendix,4.81,2.92
516,appetite,6.23,5.37
517,appetizer,7.29,4.52
518,appetizing,7,4.82
519,applaud,6.7,5.05
520,applause,7.12,5.38
521,apple,6.62,3.52
522,apple juice,7.3,3.2
523,applejack,5.79,3.8
524,applesauce,6.9,2.78
525,appliance,5.15,2.84
526,applicant,4.91,3.96
527,application,5.05,4.52
528,apply,5.16,3.24
529,appoint,5.95,4.25
530,appointment,4.43,4.8
531,appraisal,5.09,4.09
532,appreciate,7.33,3.1
533,appreciation,7.3,4.68
534,appreciative,7.14,4.35
535,apprehend,4.14,5.13
536,apprehension,4.15,4.23
537,apprehensive,3.32,4.77
538,apprentice,5.95,3.59
539,approach,5.45,4.48
540,appropriate,6.1,4.04
541,approval,6.75,3.52
542,approve,7,4.09
543,approximate,5.26,3.82
544,apricot,5.95,4.29
545,apron,5.8,2.9
546,apt,5.64,4.05
547,aptitude,5.95,4.55
548,aqua,6.5,3.6
549,aquamarine,6.4,3.9
550,aquarium,6.43,4.3
551,aquatic,6.8,3.58
552,arbitrary,4.15,4.55
553,arbitration,4.09,4.41
554,arcade,6.45,6.1
555,arcane,5.25,3.61
556,arch,5.8,3.15
557,archaeological,6.05,4.52
558,archaeologist,5.42,4.14
559,archaeology,6.1,3.86
560,archaic,4.5,4.38
561,archangel,7.27,4.19
562,archbishop,4.71,3.78
563,archdiocese,3.95,3.41
564,archduke,4.15,3.56
565,archery,5.25,4.39
566,architect,6.21,3.25
567,architectural,6.32,4.05
568,architecture,6.05,4.39
569,archive,4.81,4.18
570,arctic,4.45,3.88
571,ardent,4.95,4.62
572,area,5.56,2.19
573,arena,5.75,4.23
574,argue,3.15,6.67
575,argument,2.62,5.22
576,argumentative,3.2,5.61
577,arise,6.17,4.76
578,aristocracy,5.21,4.15
579,aristocrat,4.28,3.6
580,aristocratic,5.79,3.18
581,arithmetic,4.95,4
582,ark,6.15,3.52
583,arm,5.44,3.44
584,armada,4.6,3.29
585,armament,5.05,4.65
586,armchair,5.67,2.75
587,armed,4.11,6.3
588,armor,6.1,3.29
589,armored,5.67,3.52
590,armory,5.25,4.48
