,Word,valence,arrousal
2277,cocky,3.45,5.8
2278,cocoa,7.33,5
2279,coconut,6.55,4.67
2280,cocoon,5.22,2.85
2281,cod,5.21,3.95
2282,code,4.67,2.76
2283,codeine,4.85,4.72
2284,codfish,5.16,3.05
2285,coding,5.24,3.45
2286,coed,5.68,3.62
2287,coerce,3.32,5.45
2288,coercion,3.5,4.33
2289,coexist,5.95,3.48
2290,coffee,7,5.1
2291,coffee table,5.86,3.72
2292,coffeehouse,7.25,3.55
2293,coffeepot,5.26,3.61
2294,coffin,2.63,4.3
2295,cog,4.55,4
2296,cognac,4.85,4.81
2297,cognitive,5.68,5.27
2298,coherent,5.95,3.09
2299,coil,4.94,3.72
2300,coin,6.55,3.13
2301,coincide,5.27,3.88
2302,coincidence,5.58,3.86
2303,coincidental,5.68,4.15
2304,coke,6.55,4.3
2305,Coke,6.62,4.45
2306,cola,5.67,4.29
2307,cold,4.32,3.55
2308,coleslaw,4.9,3.45
2309,colic,2.95,2.89
2310,coliseum,5.56,4.06
2311,collaborate,6.15,4.3
2312,collaboration,5.19,4.39
2313,collaborator,4.91,4.73
2314,collage,5.05,3.44
2315,collagen,4.26,3.8
2316,collapse,3.37,6.14
2317,collar,4.95,3.33
2318,collarbone,5.1,2.86
2319,collateral,4.11,3.9
2320,colleague,5.26,3.5
2321,collect,5.9,3.14
2322,collection,5.9,4.44
2323,collective,5.19,2.86
2324,collector,5.27,4.91
2325,college,6.44,4
2326,collegiate,5.3,4.95
2327,collide,3.1,4.33
2328,collie,6.8,3.68
2329,collision,2.95,5.9
2330,cologne,6.05,3.6
2331,colon,4.04,3.64
2332,colonel,5.18,3.9
2333,colonial,4.95,2.71
2334,colonic,3.85,3.86
2335,colonoscopy,2.6,4.05
2336,colony,5.52,4.17
2337,color,7.05,3.18
2338,colored,6.57,4.73
2339,colorful,7.43,3.59
2340,coloring,6.29,4.41
2341,colossal,4.33,4.96
2342,columbine,3.7,5.14
2343,column,5,3.11
2344,columnist,5.47,3.25
2345,com,5.76,4.35
2346,coma,1.89,3.05
2347,comatose,2,3.15
2348,comb,5.65,2.33
2349,combat,2.95,6.09
2350,combative,3.65,5.6
2351,combination,5.47,3.5
2352,combine,4.84,3.64
2353,combo,6.17,4.48
2354,combustion,4.43,6.26
2355,come,5.64,3.57
2356,comeback,6.14,4.89
2357,comedian,7.6,5.78
2358,comedy,8.05,6
2359,comet,6.9,4.8
2360,comfort,7.24,2.76
2361,comfortable,7.67,2.38
2362,comforter,6.65,3.85
2363,comforting,7.47,3
2364,comfy,7.25,2.88
2365,comic,7.5,4.3
2366,comical,6.95,5.1
2367,comics,6.95,4.41
2368,comma,4.47,3.23
2369,command,4.19,4.65
2370,commandant,5.16,3.95
2371,commandeer,4.43,4.45
2372,commander,4.73,4.6
2373,commanding,4.57,5.95
2374,commandment,5.55,4.16
2375,commando,5.52,5.95
2376,commemorate,5.74,2.76
2377,commemorative,5.84,4.3
2378,commence,5.32,3.81
2379,commend,7,3.23
2380,commendable,6.76,3.75
2381,commendation,6.19,4.71
2382,comment,5.65,3.56
2383,commentary,5.5,3.5
2384,commentator,5.11,4.1
2385,commerce,5.21,3.95
2386,commercial,4.11,4.43
2387,commie,3.86,4.76
2388,commissary,5,3.36
2389,commission,5.81,4.59
2390,commissioner,4.68,3.25
2391,commit,5.85,3.5
2392,commitment,6.33,4.26
2393,committee,5.52,3.56
2394,commodity,5.86,3.75
2395,commodore,4.82,3.05
2396,common,5.94,2.43
2397,commoner,4.42,3.05
2398,commonplace,5.48,3
2399,commotion,4.1,3.73
2400,communal,5.47,3
2401,commune,5,3.77
2402,communicate,6.28,3.79
2403,communication,6.73,4.16
2404,communicator,5.42,3.33
2405,communion,5.37,3.5
2406,communism,2.94,5.1
2407,communist,3.22,5.1
2408,community,6.09,3.8
2409,commute,4.14,3.15
2410,commuter,4.63,3.6
2411,comp,6.16,3.52
2412,compact,4.95,3.75
2413,companion,7.25,4.06
2414,companionship,7.9,5.05
2415,company,5.64,3.29
2416,comparable,5.4,4
2417,comparative,5.05,3.91
2418,compare,5.09,3.78
2419,comparison,5.11,2.92
2420,compartment,5.36,3.57
2421,compass,5.75,2.85
2422,compassion,7.9,4.5
2423,compassionate,7.95,4.73
2424,compatibility,6.5,5.32
2425,compatible,6.29,4.04
2426,compel,4.89,4.33
2427,compelling,6,5.14
2428,compensate,6.36,5.47
2429,compensation,6.55,4.73
2430,compete,5.35,4.4
2431,competence,6.15,3.72
2432,competent,6.05,4.09
2433,competition,5.33,5.75
2434,competitive,5.45,5.7
2435,competitor,4.45,6.32
2436,compile,5.21,3.75
2437,complacent,4.53,3.71
2438,complain,3.1,5.18
2439,complaint,3.21,4.29
2440,complement,6.7,5.9
2441,complete,6.5,2.57
2442,completion,7.38,4.24
2443,complex,4.21,4.6
2444,complexion,5.42,4.55
2445,complexity,5.37,5.13
2446,compliance,5.18,2.85
2447,complicate,3.3,4.95
2448,complicated,3.82,5.75
2449,complication,3.05,4.55
2450,complicity,4.45,3.59
2451,compliment,7.24,5.9
2452,complimentary,6.9,5.15
2453,comply,4.25,2.68
2454,component,5.62,4.27
2455,compose,5.64,3.85
2456,composer,6.42,3.36
2457,composite,4.89,3.55
2458,composition,5.52,3.4
2459,compost,5.47,2.71
2460,compound,5.62,3.5
2461,comprehend,6.57,3.94
2462,comprehension,6.24,3.33
2463,comprehensive,6.79,3.6
2464,compress,4.85,5
2465,compressed,4,3.57
2466,compression,4.79,4.19
2467,compressor,5.32,3.62
2468,compromise,5.62,3.36
2469,compulsion,3.95,4.89
2470,compulsive,4.5,4.67
2471,compulsory,4.16,3.72
2472,compute,5.74,3.45
2473,computer,6.84,4.92
2474,computerized,6.37,4.25
2475,computing,6.09,3.67
2476,comrade,7.3,4.25
2477,con,3.21,4.52
2478,conceal,3.95,3.74
2479,concealment,4.21,4.45
2480,concede,4.48,2.73
2481,conceit,3.75,4.1
2482,conceited,2.75,6.58
2483,conceivable,5.6,4.41
2484,conceive,5.63,4.95
2485,concentrate,6.46,5.11
2486,concentration,5.45,4
2487,concept,4.89,2.9
2488,conception,6,6.09
2489,concern,5.05,4.7
2490,concerned,4.61,3.95
2491,concert,7,5.17
2492,concerto,5.7,3.14
2493,concession,5.32,3.71
2494,conch,5.37,3.48
2495,concierge,5.35,3.39
2496,concise,5.47,3.3
2497,conclude,4.81,2.57
2498,conclusion,4.8,3.95
2499,conclusive,5.32,3.92
2500,concoction,5.52,4.16
2501,concourse,4.9,3.71
2502,concrete,4.82,3.63
2503,concubine,3.53,5.33
2504,concur,6,3.6
2505,concussion,3.45,3.96
2506,condemn,2.62,5.33
2507,condemnation,3.15,4.1
2508,condensed,4.38,4.05
2509,condescending,3.8,5.27
2510,condition,4.32,4.15
2511,conditioner,5.84,3
2512,conditioning,4.89,3.77
2513,condo,6.47,3.8
2514,condom,5.44,5.38
2515,condone,5.1,3.57
2516,condor,4.76,3.55
2517,conducive,5.39,3.85
2518,conduct,5.21,3.64
2519,conductor,5.5,4.24
2520,conduit,4.5,3.48
2521,cone,6.1,3.36
2522,confederacy,4.15,3.75
2523,confederate,4.5,3.95
2524,confer,5.09,2.48
2525,conference,5.1,2.95
2526,confess,4.85,4.67
2527,confession,5.47,4.59
2528,confessional,4.62,4.35
2529,confetti,6.26,5.57
2530,confidant,7.15,4.25
2531,confide,6.21,3.43
2532,confidence,6.71,4.04
2533,confident,7.56,4.62
2534,confidential,6.05,4.5
2535,confidentiality,5.82,4.64
2536,configuration,4.58,3.45
2537,confine,3,3.96
2538,confinement,4.05,4.83
2539,confirm,5.76,3.38
2540,confirmation,5.71,3.83
2541,confiscate,3.59,5.68
2542,conflict,3.05,5.41
2543,conflicting,3.5,4.91
2544,conform,4.78,3.9
2545,confound,3.85,4.38
2546,confounded,4.32,4.38
2547,confront,4.59,6.11
2548,confrontation,2.57,5.16
2549,confuse,4.5,3.95
2550,confused,3.11,4.28
2551,confusing,3,5.09
2552,confusion,3.32,4.64
2553,conga,5.9,4.57
2554,congenital,4.11,4.13
2555,congestion,3.25,4.24
2556,conglomerate,5,4.68
2557,congrats,6.94,4.05
2558,congratulate,6.33,4.77
2559,congratulation,7.3,6.05
2560,congratulations,7.33,5.55
2561,congregation,5.16,3.2
2562,congress,3.55,3.61
2563,congressional,4.29,3.82
2564,congressman,3.71,4.09
2565,conjecture,4.71,3.64
2566,conjugal,4.84,4.72
2567,conjunction,5.19,4.25
2568,conjure,5.05,4.57
2569,conk,4.47,4
2570,connect,6.61,3.47
2571,connection,6,4.45
2572,connoisseur,5.85,3.68
2573,conquer,4.29,5.23
2574,conquering,4.58,5.75
2575,conqueror,5.1,5.28
2576,conquest,5.9,5.67
2577,conscience,5.9,3.95
2578,conscientious,6.05,3
2579,conscious,5.53,4.3
2580,consciousness,6.48,3.33
2581,consecrated,4.81,3.7
2582,consecutive,4.75,3.11
2583,consensual,6.3,5.24
2584,consensus,5.74,3
2585,consent,6.42,3.88
2586,consenting,5.47,3.8
2587,consequence,3.86,4.31
2588,conservation,5.2,3.17
2589,conservative,4.55,2.65
2590,conservatory,5.18,3.65
2591,conserve,5.9,3.75
2592,consider,6.56,2.71
2593,considerable,6,3.86
2594,considerate,7.2,3.67
2595,consideration,6.4,3.45
2596,consignment,5.58,4.17
2597,consist,5.21,3.14
2598,consistency,6.1,2.73
2599,consistent,6.43,3.19
2600,consolation,5.47,3.35
2601,console,6.53,4.09
2602,consoled,6.44,2.58
2603,consolidate,4.8,4.05
2604,consolidated,4.5,3.8
2605,consort,5.1,4.24
2606,conspicuous,4.05,3.87
2607,conspiracy,3.42,5.74
2608,conspire,3.9,4.48
2609,constable,5.2,3.1
2610,constant,5.9,2.81
2611,constellation,6.24,4.35
2612,constipation,2.45,3.83
2613,constituency,4.1,2.61
2614,constitute,4.57,3.18
2615,constitution,5.47,3.35
2616,constitutional,5.68,3.86
2617,construct,5.4,4.33
2618,construction,5.53,3.73
2619,constructive,5.81,4.17
2620,consul,4.39,3.41
2621,consulate,4.53,2.5
2622,consult,5.41,3.77
2623,consultant,6.05,2.76
2624,consultation,5.29,4.84
2625,consume,5.48,4
2626,consumer,5.95,3.82
2627,consummate,6.1,3.95
2628,consumption,4.65,3.76
2629,contact,6.17,3.33
2630,contagion,2.85,5.94
2631,contagious,3.05,5.25
2632,contain,5,3
2633,container,5.7,3.57
2634,containment,4.37,5.53
2635,contaminate,3.53,5.67
2636,contamination,3.11,6.71
2637,contemplate,5.48,3.16
2638,contemporary,5.95,3.81
2639,contempt,3.22,4.61
2640,contend,5.37,4.33
2641,contender,5,3.32
2642,content,6.7,3.17
2643,contention,4.19,4.29
2644,contentment,6.62,4.6
2645,contents,5.79,4.46
2646,contest,5.85,3.77
2647,contestant,4.5,4.5
2648,context,5,3.18
2649,continent,6.05,3.24
2650,continental,5.4,3.38
2651,contingency,4.67,3.22
2652,contingent,4.85,3.9
2653,continuance,5.26,3.57
2654,continuation,5.23,3.84
2655,continue,5.61,2.9
2656,continuity,5.71,2.32
2657,continuous,5.33,3.27
2658,continuum,5.15,3.95
2659,contraband,3.58,5.81
2660,contraception,6.1,4.91
2661,contract,5.1,3.95
2662,contraction,4.33,5.9
2663,contractor,4.7,4.26
2664,contradict,3.58,4.25
2665,contradiction,3.79,5
2666,contradictory,3.75,4.27
2667,contraption,5.11,4.32
2668,contrary,4.5,3.71
2669,contrast,5.3,4.23
2670,contribute,6.15,3.58
2671,contribution,6.58,3.18
2672,contrition,4.4,3.88
2673,control,4.43,4.76
2674,controller,4.43,4.08
2675,controlling,3.45,5.69
2676,controversial,4.73,6.26
2677,controversy,3.21,6.09
2678,contusion,3.9,5.95
2679,conundrum,3.95,3.27
2680,convene,5,4.05
2681,convenience,7.14,3.5
2682,convenient,7.15,3.48
2683,convent,5.05,3.86
2684,convention,5,3.67
2685,conventional,5.47,3.77
2686,converge,4.53,4.24
2687,conversation,6.72,2.65
2688,conversational,6.32,3.38
2689,conversationalist,5.94,3.9
2690,converse,5.37,4.25
2691,conversion,5.59,4.79
2692,convert,5.11,3.65
2693,convertible,6.79,4.72
2694,convey,5.1,3.83
2695,convict,2.28,4.95
2696,conviction,3.89,4.67
2697,convince,5.45,4.39
2698,convincing,5.6,4.21
2699,convoy,5.4,3.87
2700,coo,5.9,4.17
2701,cook,7.12,4.33
2702,cookbook,6.45,3.45
2703,cooker,5.52,3
2704,cookie,7.32,4.7
2705,cooking,6.77,4.19
2706,cookout,7.11,4.86
2707,cool,6.82,3.43
2708,coolant,5.21,3.45
2709,cooler,6.1,3.83
2710,coon,4.32,3.86
2711,cooperate,6.39,3.83
2712,cooperation,6.62,3.32
2713,cooperative,6.62,3.43
2714,coordinate,5.5,4.59
2715,coordination,6.11,3.45
2716,coordinator,5.43,4.41
2717,cop,4.5,4.9
2718,copacetic,4.56,3.45
2719,cope,5.1,4.1
2720,copier,4.95,3.17
2721,copilot,5.79,4.1
2722,copper,5.6,4.14
2723,copter,4.86,4.7
2724,copy,5.22,3.15
2725,copycat,3.33,4.62
2726,copyright,4.43,2.96
2727,coral,6.42,3.18
2728,coral snake,4,6.28
2729,cord,5.38,4.2
2730,cordial,6.39,3.1
2731,cordless,6.45,4.05
2732,cordon,5.22,2.55
2733,corduroy,5.79,3.45
2734,core,6.19,3.24
2735,cork,4.93,3.92
2736,corkscrew,5.26,3.76
2737,corn,5.95,3.43
2738,cornball,5.55,3.17
2739,cornbread,6.47,3.5
2740,corned,4.61,3.59
2741,corner,4.83,3.38
2742,cornerstone,5.9,3.33
2743,cornfield,5.05,3.73
2744,cornflakes,6.37,3.3
2745,corny,5,3
2746,coronary,2.62,4.67
2747,coronation,4.6,4.5
2748,coroner,3,3.61
2749,corporal,4.63,3.5
2750,corporate,4.9,4.74
2751,corporation,3.82,4.73
2752,corporeal,4,3.5
2753,corps,4.24,3.52
2754,corpse,2.45,4.89
2755,corpsman,4.05,3.91
2756,corral,4.5,3.71
2757,correct,6.94,3.48
2758,correction,4.05,4.37
2759,correctional,4.09,4.86
2760,corrective,4.95,4.05
2761,correlation,5.09,3.23
2762,correspond,5.75,3.48
2763,correspondence,6.59,5.05
2764,correspondent,5.32,3.55
2765,corresponding,5.1,4.52
2766,corridor,4.76,3.53
2767,corroborate,5.5,3.88
2768,corrupt,3,5.98
2769,corruption,3,4.86
2770,corsage,6.3,3.4
2771,corset,5.81,5.75
2772,cortex,5.2,3.67
2773,cortisone,4.42,3.39
2774,cosmetic,5.09,4.87
2775,cosmic,7.11,5.39
2776,cosmopolitan,5.8,3.86
2777,cosmos,6.5,4.27
2778,cost,4.11,4.9
2779,costly,3,4.08
2780,costume,6.05,4.78
2781,cot,5.37,2.95
2782,cottage,6.63,2.95
2783,cotton,6.05,2.48
2784,couch,6.52,3.4
2785,cougar,5.67,5.7
2786,cough,3.57,4.5
2787,council,5,3.86
2788,councilman,4.19,3.26
2789,counsel,5.48,2.86
2790,counseling,5.9,3.4
2791,counselor,5.71,3.45
2792,count,5.89,2.3
2793,countdown,5.64,6.47
2794,countenance,4.77,3.35
2795,counter,5.22,2.47
2796,counteract,4.73,4.27
2797,counterattack,4.16,5.83
2798,counterfeit,3.16,4.18
2799,counterpart,5.38,3.4
2800,counterpoint,5.24,4.4
2801,countess,5.85,3.55
2802,countless,4.8,4.22
2803,country,6.14,3.71
2804,countryside,6.94,2.7
2805,county,5.18,3.4
2806,coup,4.74,4.64
2807,coupe,5.05,3.74
2808,couple,7.11,4.95
2809,coupling,5.4,4.61
2810,coupon,6.3,4.22
2811,courage,7.67,5
2812,courageous,8.05,5.5
2813,courier,5.5,3.67
2814,court,3.52,4.43
2815,courteous,7.05,3.95
2816,courtesy,6.79,4.3
2817,courthouse,4.61,4.2
2818,courtroom,2.84,4.67
2819,courtship,6,5.38
2820,courtside,6,4.24
2821,courtyard,5.53,3.43
2822,cousin,6.11,2.6
2823,cove,5.67,3.17
2824,coven,5.43,4.8
2825,covenant,5.21,4
2826,cover,5.59,3.76
2827,coverage,5.77,3.19
2828,covert,3.79,4.32
2829,covet,4.48,4.04
2830,coveted,5.95,4.88
2831,cow,5.42,2.95
2832,coward,2.42,4.09
2833,cowardice,3.05,4.25
2834,cowardly,2.85,5.14
2835,cowboy,5.43,4.43
2836,cowgirl,6.11,5.3
2837,cowhand,4.65,3.33
2838,coworker,5,3.57
2839,coy,5.5,3.72
2840,coyote,4.05,5.55
2841,cozy,7.28,3.56
2842,crab,5.81,4.13
2843,crabby,3.16,6
2844,crack,2.68,5.25
2845,cracker,5.11,3.64
2846,crackerjack,7.21,5.13
2847,crackle,5.53,5.27
2848,crackpot,3.38,5.1
2849,cradle,6.1,3.67
2850,craft,6.38,4.04
2851,craftsman,6.71,4.11
2852,craftsmanship,6.89,4.52
2853,crafty,5.73,5.04
2854,cram,4.68,4.19
2855,cramp,2.91,4.73
2856,cranberry,6.36,3.64
2857,cranberry juice,6,4.25
2858,cranial,5.37,4.62
2859,cranium,5.81,3.55
2860,crank,3.85,4.67
2861,cranky,3,4.71
2862,cranny,4.68,3.46
2863,crap,3.44,4.62
2864,crappy,2.35,5.26
2865,crash,2.9,4.55
2866,crass,3.73,4.73
2867,crate,4.8,2.72
2868,crater,5.15,4.84
2869,crave,5.41,5.04
2870,crawl,3.95,3.62
2871,crayon,5.76,2.91
2872,craze,5.33,6.45
2873,crazed,3.5,6.25
2874,craziness,3.82,6.83
2875,crazy,5.14,5.9
2876,creak,4.68,4.4
2877,creaking,4.55,4.77
2878,cream,6.56,3.8
2879,creamed,6.1,4.75
2880,creamer,5.47,2.81
2881,creamy,6.48,3.12
2882,crease,4.86,4
2883,create,7.86,6.26
2884,creation,6.85,5.35
2885,creative,7.06,4.86
2886,creativity,7.73,5.3
2887,creator,6.45,4.89
2888,creature,6.06,4.77
2889,credence,5.79,4.64
2890,credibility,7,4.05
2891,credible,6.95,3.95
2892,credit,5,4.38
2893,credit card,5.55,4.52
2894,creed,5.25,3.67
2895,creek,6.32,2.67
2896,creep,2.95,4.78
2897,creeper,3.61,5.68
2898,creepy,2.52,5.54
2899,cremation,4,5.29
2900,crepe,6.48,3.62
2901,crescendo,5.58,4.91
2902,crescent,5.9,3.32
2903,crest,4.9,3.39
2904,cretin,4.47,3.71
2905,crevice,4.67,4.58
2906,crew,5.83,3.38
2907,crewman,5.14,3.2
2908,crib,6.43,4.26
2909,cricket,5.71,3.22
2910,crime,1.95,5.68
2911,criminal,2.11,4.49
2912,crimp,4.95,3.41
2913,crimson,5.67,4.52
2914,cringe,3.24,5.85
2915,cripple,2.47,4.05
2916,crippling,2.71,4.88
2917,crisis,2.05,6.29
2918,crisp,5.23,3.95
2919,crispy,6.18,5
2920,critic,4.1,4.25
2921,critical,3.95,4.95
2922,criticism,3.84,5.95
2923,criticize,2.41,5.27
2924,critique,4.8,3.85
2925,critter,5.4,4.05
2926,croak,3.29,4.52
2927,croc,4,5.06
2928,crock,5.1,4.32
2929,crocodile,3.15,6.48
2930,croissant,7,4.5
2931,crook,2.86,4.62
2932,crooked,3.17,4.18
2933,crop,5.88,3.19
2934,croquet,5.63,3.5
2935,cross,5.67,3.05
2936,cross country,5.8,4.65
2937,crossbow,4.91,5.38
2938,crossfire,4.16,5.9
2939,crossover,5.44,3.95
2940,crosswalk,5.25,3.52
2941,crossword,6.58,3.74
2942,crotch,4.62,4.96
2943,crouch,4.79,4.05
2944,crow,4.32,3.55
2945,crowbar,4.81,3.61
2946,crowd,4.48,5.15
2947,crowded,3.2,3.95
2948,crown,6,4.52
2949,crucial,5.16,4.14
2950,crucifix,4.1,4.19
2951,crucifixion,2.82,5.62
2952,crucify,2.26,5.6
2953,crud,4.05,3.89
2954,crude,3.24,4.51
2955,cruel,2.73,5.07
2956,cruelty,2.37,5.9
2957,cruise,6.47,4.32
2958,cruise ship,7.05,4.42
2959,cruiser,5.32,2.9
2960,crumb,5.14,2.95
2961,crumble,4.25,4
2962,crummy,3.9,4.26
2963,crunch,4.79,4.17
2964,crunchy,5.86,4.45
2965,crusade,4.24,6.2
2966,crusader,5.63,5.09
2967,crush,4.72,5.6
2968,crushed,2.87,5.07
2969,crusher,4.8,4.65
2970,crust,5.76,3.62
2971,crusty,4.29,3.17
2972,crutch,3.64,3.67
2973,cry,3.22,5.45
2974,crybaby,2.95,5.05
2975,crypt,2.67,4.13
2976,cryptic,3.86,5.53
2977,crystal,6.75,4.1
2978,cub,6.71,3.95
2979,cubby,5,3.71
2980,cube,4.75,3.09
2981,cubic,4.7,3
2982,cubicle,3.8,3.05
2983,cuckold,3.6,3.78
2984,cuckoo,4.79,4.57
2985,cucumber,6.47,3.17
2986,cuddle,7.6,3.83
2987,cue,5.84,4.35
2988,cuff,4.81,3.56
2989,cuisine,6.88,4.51
2990,culinary,6.33,4.5
2991,culmination,5.85,3.43
2992,culprit,2.9,5.54
2993,cult,2.77,5.48
2994,cultivate,5.73,3.81
2995,cultural,6.9,4.55
2996,culture,6.28,4.06
2997,cultured,6.15,3.33
2998,cunning,5.05,4.9
2999,cunt,3.7,6.1
3000,cup,5.94,2.6
3001,cupboard,4.81,3.52
3002,cupcake,6.9,4.22
3003,curator,6.42,2.73
3004,curb,4.65,3.59
3005,curd,5.19,4.37
3006,cure,7.81,4.5
3007,curfew,4.14,4
3008,curiosity,6.37,5.9
3009,curious,6.58,5.74
3010,curl,5.72,3.05
3011,curling,5,4.43
3012,currency,5.9,4.05
3013,current,5.53,3.25
3014,curriculum,5.3,3.56
3015,curry,5.4,3.17
3016,curse,2.9,5.2
3017,curt,4.05,3.2
3018,curtain,5.36,3.62
3019,curtains,5.44,2.63
3020,curtsy,6.35,4.6
3021,curve,5.81,4.52
3022,curved,5.24,3.91
3023,cushion,5.9,2.76
3024,cushy,5.95,4.23
3025,cuss,4,6.25
3026,custard,5.45,3.5
3027,custodial,5.05,3.42
3028,custodian,3.79,2.67
3029,custody,4.74,4.14
3030,custom,5.29,4
3031,customary,5,3.44
3032,customer,5.86,3.4
3033,customized,6.91,4.87
3034,cut,3.9,5.07
3035,cute,7.56,5.05
3036,cutie,7.43,4.62
3037,cutlass,5,4.55
3038,cutoff,3.14,3.92
3039,cutter,4.05,4.35
3040,cutthroat,3.14,5.65
3041,cutting board,5.35,3.83
3042,cyanide,2.7,5.72
3043,cyberspace,5.73,5.04
3044,cycle,5.64,4.42
3045,cyclone,3.47,5.09
3046,cylinder,5.45,3.14
3047,cynic,3.45,4.68
3048,cynical,3.3,4.78
3049,cynicism,3.41,5
3050,cyst,2.5,4.28
3051,cystic,3.19,3.55
3052,czar,4.53,4.79
3053,dab,5,3.11
3054,dabble,5.48,3.05
3055,dad,7.14,4.05
3056,daddy,7.27,4.24
3057,daft,4.5,2.75
3058,dagger,4.38,5.79
3059,daily,5.74,4.2
3060,dainty,6.42,2.7
3061,daiquiri,5.68,4.95
3062,dairy,6.09,3.9
3063,daisy,7.48,3.95
3064,dam,4.58,3.67
3065,damage,2.98,4.86
3066,dame,6.1,4.22
3067,damn,4.32,5.1
3068,damnation,3.14,5.77
3069,damp,4.05,2.8
3070,damper,4.3,3.59
3071,damsel,5.74,4.44
3072,dance,7.27,5.48
3073,dancer,6.64,4.52
3074,dandruff,3.05,4.41
3075,dandy,6.55,4
3076,danger,2.66,5.84
3077,dangerous,2.33,6.81
3078,dangle,4.76,4.25
3079,dank,3.95,3
3080,dare,4.67,5.6
3081,daredevil,4.89,6.33
3082,daresay,5.35,3.76
3083,daring,6,6.14
3084,dark,5.08,4.09
3085,darken,4.45,3.86
3086,darkened,3.37,3.77
3087,darkness,4.71,4.08
3088,darkroom,4.9,3.61
3089,darling,7.32,3.95
3090,darn,3.81,3.17
3091,dart,4.76,3.87
3092,dash,5.05,4.29
3093,dashboard,5.25,3.15
3094,dashing,6.62,4.28
3095,database,4.75,3.33
3096,date,7.18,4.33
3097,daughter,6.73,5
3098,dawdle,4.77,3.29
3099,dawn,6.74,3.1
3100,day,6.36,3.62
3101,daybreak,7.16,3.95
3102,daycare,5.35,3.39
3103,daydream,7.15,3.2
3104,daylight,6.95,4.05
3105,daytime,7.58,4
3106,daze,4.14,4.5
3107,dazzle,6.46,4.96
3108,dazzling,6.5,6.36
3109,deacon,5.09,3.87
3110,deactivate,3.95,4.58
3111,dead,2.02,3.91
3112,deadbeat,2.81,4.32
3113,deadline,3.19,5.74
3114,deadly,1.9,5.04
3115,deaf,3.19,4.27
3116,deafening,3.71,4.56
3117,deal,6.14,3.9
3118,dealer,4.18,5.42
3119,dealership,5.15,2.9
3120,death,1.89,5.53
3121,deathbed,1.79,4.05
3122,deathly,1.95,6.05
3123,debacle,4.2,4.78
3124,debatable,5.62,5.8
3125,debate,4.95,4.86
3126,debauchery,4.21,5.28
3127,debilitating,3,4.41
3128,debrief,4.59,3.61
3129,debriefing,5.05,3.48
3130,debris,4.2,4.23
3131,debt,1.95,5.93
3132,debut,5.81,3.41
3133,debutante,5,4.23
3134,decade,4.75,3.61
3135,decadence,5.21,4.32
3136,decadent,6.09,4.05
3137,decaf,3.62,3
3138,decathlon,4.67,4.5
3139,decay,2.4,4.59
3140,decaying,2.81,4.68
3141,deceased,2.73,4.86
3142,decedent,5.3,3.15
3143,deceit,2.89,5.62
3144,deceitful,2.6,5.18
3145,deceive,2.95,5.9
3146,decency,5.55,3.36
3147,decent,6.27,4.15
3148,deception,2.36,5.79
3149,deceptive,3.73,4.95
3150,decide,6.28,3.1
3151,decimal,4.68,3.35
3152,decimeter,4.82,2.5
3153,decipher,5.09,4.39
3154,decision,5.5,3.43
3155,decisive,6.78,3.95
3156,deck,5.68,3.25
3157,declaration,5.67,4.24
3158,declare,5.42,4.4
3159,decline,3.19,3.6
3160,deco,5.29,3.74
3161,decode,5.5,4.59
3162,decoder,6.21,3.43
3163,decompose,2.42,4.17
3164,decomposition,3.16,4
3165,decompress,4.43,3.52
3166,decompression,3.75,2.91
3167,decontamination,4.33,4.96
3168,decor,5.95,3.38
3169,decorate,6.26,4.33
3170,decoration,6.71,4.05
3171,decorative,7.52,4.76
3172,decorator,6.43,3.15
3173,decorum,5.5,2.91
3174,decoy,4.61,3.91
3175,decrease,4.16,3.05
3176,decree,5.33,3.9
3177,decrepit,3.05,4.83
3178,decryption,4.81,4.12
3179,dedicate,6.48,3.35
3180,dedication,7.38,4.36
3181,deduce,5.29,3.04
3182,deduct,4.24,4.11
3183,deductible,4.71,4.29
3184,deduction,5.14,3.23
3185,deed,5.89,3
3186,deejay,5.91,3.95
3187,deem,4.74,3.29
3188,deep,5.44,3.9
3189,deer,6.89,3.95
3190,defamation,2.9,5.62
3191,default,4.16,4.57
3192,defeat,3.74,4.14
3193,defeated,2.59,4.73
3194,defeatist,3.37,3.5
3195,defect,2.89,4.14
3196,defective,3.52,4.17
3197,defector,4.35,3.75
3198,defend,6.3,4.55
3199,defendant,4.05,4.14
3200,defender,5.05,3.76
3201,defense,5.36,5.11
3202,defenseless,2.68,4.9
3203,defensive,4.65,4.28
3204,defer,4.5,2.7
3205,defiance,4.15,5.86
3206,defiant,4.12,5.9
3207,defibrillator,3.45,5
3208,deficiency,2.74,4.2
3209,deficient,3.63,3.56
3210,deficit,2.95,4.19
3211,define,5.57,3.95
3212,definite,5.79,4.19
3213,definition,5.63,3.14
3214,definitive,5.57,3.83
3215,deflect,5.1,3.68
3216,deformed,2.26,4.27
3217,deformity,3.18,4.71
3218,defrost,4.86,3.48
3219,deft,4.67,3
3220,defuse,5.78,4.68
3221,defy,4.84,5.43
3222,degenerate,2.7,4.68
3223,degeneration,3.48,4.18
3224,degradation,2.85,4.26
3225,degrade,2.62,4.95
3226,degree,5.63,4.1
3227,dehydration,3.38,4.68
3228,delay,3.45,3
3229,delayed,3.05,4.05
3230,delegate,5.15,3.72
3231,delegation,5.2,3.62
